"ait-table-cell","ait-table-cell 2","ait-table-cell 3","ait-local-number","ait-space-item","ait-space-item 2","ait-local-number 2","ait-space-item 3","ait-space-item 4","ait-local-number 3","ait-space-item 5","ait-space-item 6","ait-local-number 4","ait-space-item 7","ait-space-item 8","ait-local-number 5","ait-space-item 9","ait-space-item 10","ait-space-item 11","ait-space-item 12","ait-space-item 15","ait-space-item 16"
"monopattino elettrico","Electric kick scooter","N","41.97%","较前30日","1.92%","0.27%","","","5.89","较前30日","-3.57%","276,130.00","","","53,240.00","较前30日","-21.95%","较前30日","44.19%","",""
"juegos de mesa","Board games","N","42,154.00","较前30日","-4.97%","254,131.00","较前30日","-18.18%","18.30%","较前30日","-15.11%","0.27%","较前30日","-8.68%","9.79","较前30日","-14.49%","","","",""
"survival","survival","Y","26,760.00","较前30日","4.72%","253,404.00","较前30日","7.98%","25.19%","较前30日","2.53%","0.37%","较前30日","0.04%","50.20","较前30日","27.59%","","","",""
"trottinette électrique","Electric scooter","N","38.75%","较前30日","2.38%","0.24%","","","8.03","较前30日","-4.00%","251,647.00","","","59,052.00","较前30日","-14.93%","较前30日","44.20%","",""
"yoga","yoga","Y","54,189.00","较前30日","5.00%","240,020.00","较前30日","13.84%","22.26%","较前30日","-3.13%","0.43%","较前30日","-2.27%","20.51","较前30日","-0.74%","","","",""
"fishing accessories","fishing accessories","N","21.73%","较前30日","4.22%","0.77%","较前30日","2.67%","68.50","较前30日","-6.88%","238,876.00","","","33,295.00","","","较前30日","52.77%","",""
"rhinowalk","rhinowalk","Y","53,411.00","较前30日","24.96%","238,789.00","较前30日","26.35%","41.84%","较前30日","-6.94%","17.11","较前30日","3.33%","0.55%","","","较前30日","44.74%","",""
"mochila","Backpack","Y","78,291.00","较前30日","7.07%","234,152.00","较前30日","22.39%","19.08%","较前30日","-12.75%","2.71","","","0.25%","较前30日","-8.98%","较前30日","31.58%","",""
"캠핑","Camping","N","19.94%","较前30日","6.57%","0.16%","","","17.46","较前30日","-5.88%","231,583.00","","","24,876.00","较前30日","-15.50%","较前30日","41.77%","",""
"padel","padel","Y","37,416.00","较前30日","2.42%","229,097.00","较前30日","1.37%","24.35%","较前30日","-0.29%","0.32%","较前30日","8.66%","25.27","较前30日","-3.03%","","","",""
"guitar","guitar","Y","42,666.00","较前30日","3.97%","228,391.00","","","25.33%","较前30日","-8.56%","0.06%","较前30日","-1.25%","31.58","较前30日","-2.29%","","","较前30日","0.00%"
"sports","sports","Y","100,562.00","较前30日","6.94%","227,590.00","较前30日","8.65%","10.35%","较前30日","-1.06%","3.48","","","","较前30日","-3.72%","","","",""
"hirisi","hirisi","Y","27,255.00","较前30日","17.08%","226,454.00","较前30日","17.70%","25.72%","较前30日","-2.69%","64.99","","","0.97%","较前30日","-6.30%","较前30日","51.56%","",""
"bike accessories","bike accessories","N","21.54%","较前30日","0.98%","0.54%","较前30日","14.89%","52.79","较前30日","-4.83%","216,709.00","","","29,794.00","","","较前30日","56.04%","",""
"электровелосипед","Electric bike","N","58.26%","","","14.11","","","","较前30日","-2.22%","210,397.00","","","58,729.00","较前30日","-8.96%","较前30日","42.97%","",""
"naturehike","naturehike","Y","37,997.00","较前30日","9.63%","205,998.00","较前30日","6.59%","39.79%","较前30日","-4.55%","0.21%","较前30日","2.66%","34.69","较前30日","-0.98%","","","",""
"fishing lures","fishing lures","N","26.02%","较前30日","1.37%","1.17%","","","57.38","较前30日","-1.44%","200,083.00","","","29,241.00","较前30日","-6.40%","较前30日","62.86%","",""
"bicicleta elétrica","Electric bicycle","N","22.04%","","","0.01%","","","4.66","较前30日","-0.72%","193,768.00","","","57,558.00","较前30日","-14.99%","较前30日","38.07%","较前30日","0.00%"
"electric guitar","electric guitar","N","21,525.00","较前30日","0.48%","188,885.00","较前30日","4.66%","28.72%","较前30日","-4.81%","58.33","","","","较前30日","-4.33%","","","",""
"señuelos de pesca","Fishing lures","N","32.86%","较前30日","1.83%","1.15%","","","29.67","较前30日","-4.96%","184,869.00","","","29,616.00","较前30日","-14.72%","较前30日","44.69%","",""
"dnd","dnd","Y","32,521.00","较前30日","2.09%","183,420.00","较前30日","8.82%","29.37%","较前30日","-25.91%","0.37%","较前30日","11.28%","32.15","较前30日","-27.45%","","","",""
"laser","laser","Y","67,314.00","较前30日","0.24%","182,991.00","较前30日","11.41%","25.00%","较前30日","-16.00%","0.73%","较前30日","-8.75%","4.21","较前30日","-16.43%","","","",""
"bicicletas eléctricas","Electric bicycles","N","41,079.00","较前30日","1.55%","182,932.00","较前30日","9.89%","31.13%","较前30日","-1.80%","0.04%","较前30日","4.89%","13.53","","","","","较前30日","0.00%"
"fishing rod","fishing rod","N","30.03%","较前30日","7.32%","0.44%","","","33.77","较前30日","-2.40%","181,200.00","","","35,905.00","较前30日","-1.52%","较前30日","35.98%","",""
"bicicletta elettrica","Electric bicycle","N","31.14%","较前30日","3.90%","0.10%","","","7.76","较前30日","-9.09%","181,043.00","","","36,900.00","较前30日","-16.19%","较前30日","36.59%","",""
"multitool","multitool","Y","38,586.00","较前30日","18.75%","180,775.00","较前30日","-2.77%","26.73%","较前30日","-3.67%","0.38%","较前30日","-1.66%","11.35","较前30日","-3.97%","","","",""
"sunglasses","sunglasses","Y","57,488.00","较前30日","18.15%","180,315.00","较前30日","12.07%","22.44%","较前30日","-13.94%","1.19%","较前30日","4.91%","4.54","较前30日","27.96%","","","",""
"e scooter","e scooter","N","38.54%","较前30日","5.36%","11.70","","","0.16%","较前30日","-19.94%","179,240.00","较前30日","45.45%","44,754.00","","","较前30日","56.91%","",""
"electric bike adults","electric bike adults","N","26.90%","较前30日","3.98%","0.11%","较前30日","10.00%","12.10","较前30日","-14.85%","174,384.00","","","35,781.00","","","较前30日","45.78%","",""
"bicicleta","Bicycle","N","47,468.00","较前30日","17.66%","172,256.00","较前30日","19.92%","26.46%","较前30日","-4.03%","13.28","","","0.02%","较前30日","-7.00%","较前30日","100.00%","",""
"water bottle","water bottle","N","47,356.00","较前30日","2.36%","168,550.00","较前30日","0.11%","18.27%","较前30日","-1.58%","0.46%","较前30日","5.32%","4.84","较前30日","-16.36%","","","",""
"tactical gear","tactical gear","Y","23.70%","较前30日","2.77%","62.76","","","0.39%","较前30日","-4.09%","167,771.00","较前30日","85.71%","20,076.00","","","较前30日","35.72%","",""
"rower elektryczny","Electric bike","N","29.29%","较前30日","13.62%","7.82","","","0.10%","较前30日","-28.98%","160,481.00","较前30日","42.86%","30,730.00","","","较前30日","96.09%","",""
"accesorios bicicleta","Bicycle accessories","N","19,429.00","较前30日","11.92%","158,976.00","较前30日","11.98%","23.97%","较前30日","-1.56%","0.36%","较前30日","24.14%","43.17","较前30日","-3.03%","","","",""
"helmet","helmet","Y","23.72%","较前30日","7.18%","9.51","","","0.37%","较前30日","-1.59%","158,700.00","较前30日","54.17%","40,656.00","","","较前30日","30.64%","",""
"kukirin g2","kirin 2 kukirin","N","157,081.00","较前30日","27.62%","33.17%","较前30日","6.18%","0.21%","较前30日","-4.55%","8.03","","","49,220.00","较前30日","-22.26%","较前30日","39.86%","",""
"에어텐트","Air tent","N","34.35%","","","6.39","","","0.11%","较前30日","-4.05%","154,680.00","较前30日","57.14%","26,150.00","较前30日","-21.13%","较前30日","46.27%","",""
"carp fishing","carp fishing","N","16,278.00","较前30日","16.55%","151,398.00","较前30日","13.21%","20.15%","较前30日","-8.75%","0.67%","较前30日","0.35%","83.66","较前30日","19.64%","","","",""
"patinete eléctrico","Electric scooter","N","33,775.00","较前30日","2.76%","149,300.00","较前30日","0.56%","39.35%","较前30日","-0.79%","0.19%","较前30日","11.76%","9.31","较前30日","-7.24%","","","",""
"strength training equipment","strength training equipment","N","13.20%","","","0.17%","","","37.93","较前30日","-8.78%","147,980.00","较前30日","-16.53%","30,420.00","较前30日","-15.00%","较前30日","124.34%","",""
"board games","board games","Y","21,979.00","较前30日","8.98%","147,387.00","较前30日","4.93%","19.15%","较前30日","-6.95%","0.39%","较前30日","8.28%","29.98","较前30日","-9.30%","","","",""
"텐트","Tent","N","20,669.00","较前30日","17.87%","147,061.00","较前30日","26.31%","29.54%","较前30日","-8.33%","0.11%","较前30日","3.65%","10.89","较前30日","-5.23%","","","",""
"캠핑용품","Camping supplies","N","19.80%","较前30日","13.92%","27.23","","","0.25%","较前30日","-18.68%","146,209.00","较前30日","66.67%","14,953.00","","","较前30日","55.89%","",""
"fishing equipment","fishing equipment","N","21.17%","较前30日","1.05%","0.58%","较前30日","3.57%","54.38","较前30日","-10.21%","144,343.00","","","20,034.00","","","较前30日","47.00%","",""
"backpack","backpack","Y","42,445.00","较前30日","1.76%","144,328.00","较前30日","3.65%","20.75%","较前30日","-2.30%","0.25%","较前30日","1.92%","5.97","较前30日","8.70%","","","",""
"capacete","Helmet","N","39,641.00","较前30日","14.07%","144,296.00","较前30日","13.83%","22.14%","较前30日","-8.29%","0.11%","较前30日","22.22%","2.13","较前30日","-8.89%","","","",""
"light","light","Y","49,150.00","较前30日","0.21%","136,271.00","较前30日","5.12%","11.08%","较前30日","-7.44%","0.23%","较前30日","21.05%","5.09","较前30日","15.51%","","","",""
"darts","darts","N","23.44%","较前30日","3.17%","0.90%","较前30日","11.11%","29.32","","","","较前30日","23.97%","","","","","","",""
"red dot","red dot","Y","22,311.00","较前30日","2.63%","131,189.00","较前30日","-1.53%","33.67%","较前30日","-5.67%","0.39%","较前30日","-2.72%","32.34","较前30日","-5.28%","","","",""
"tent","tent","Y","25,289.00","较前30日","10.65%","126,909.00","较前30日","6.93%","27.97%","较前30日","-2.95%","21.84","","","0.10%","较前30日","-16.32%","较前30日","66.67%","",""
"bicycles and scooters","bicycles and scooters","N","17.05%","","","24.54","","","","较前30日","-9.93%","125,894.00","","","32,850.00","较前30日","-15.75%","较前30日","82.96%","",""
"mtb accessories","mtb accessories","N","14,750.00","较前30日","29.15%","125,478.00","较前30日","22.78%","22.57%","较前30日","-5.97%","0.63%","较前30日","2.68%","73.27","较前30日","8.62%","","","",""
"cañas de pescar","Fishing rods","N","30.77%","较前30日","1.89%","0.42%","较前30日","7.69%","12.81","较前30日","-9.60%","125,333.00","","","34,537.00","","","较前30日","33.97%","",""
"mask","mask","Y","29,573.00","","","124,929.00","较前30日","-12.80%","16.63%","较前30日","-9.72%","11.72","较前30日","-4.64%","0.54%","较前30日","-9.68%","较前30日","42.11%","",""
"guitarra","Guitar","N","28,197.00","","","124,741.00","较前30日","-2.55%","26.05%","较前30日","-2.81%","0.02%","较前30日","-5.03%","15.69","较前30日","-0.86%","","","较前30日","0.00%"
"glock","glock","Y","26,714.00","较前30日","9.62%","123,651.00","较前30日","6.99%","16.86%","较前30日","-8.40%","32.16","","","0.11%","较前30日","-3.37%","较前30日","37.50%","",""
"lentes de sol hombre","Men sunglasses","N","33,055.00","较前30日","1.89%","123,227.00","较前30日","7.29%","23.17%","较前30日","-20.01%","0.57%","较前30日","-26.92%","4.42","较前30日","-23.03%","","","",""
"전기자전거","Electric bike","N","25.57%","","","","","","","较前30日","-2.89%","122,490.00","","","26,084.00","","","较前30日","33.12%","",""
"xinda","xinda","Y","16,390.00","较前30日","19.38%","121,067.00","较前30日","15.88%","35.06%","较前30日","-4.55%","0.21%","较前30日","8.08%","66.71","较前30日","-8.82%","","","",""
"велосипед","Bicycle","N","47.34%","较前30日","3.98%","12.48","","","0.15%","较前30日","-19.33%","120,949.00","较前30日","150.00%","37,090.00","","","较前30日","71.48%","",""
"uno","uno","Y","43,815.00","较前30日","21.20%","23.61%","较前30日","17.94%","0.65%","较前30日","-1.71%","6.69","","","120,000.00","较前30日","-19.75%","较前30日","30.18%","",""
"funsea","funsea","Y","38,985.00","较前30日","19.40%","118,950.00","较前30日","26.05%","40.65%","","","7.98","较前30日","1.83%","0.76%","较前30日","5.64%","较前30日","40.74%","",""
"gym accessories","gym accessories","N","19,806.00","较前30日","4.29%","118,382.00","较前30日","0.22%","19.20%","较前30日","-17.78%","0.56%","较前30日","-6.67%","43.70","较前30日","-16.04%","","","",""
"낚시용품","Fishing goods","N","17.73%","较前30日","0.06%","0.51%","较前30日","18.60%","37.60","较前30日","-13.61%","115,509.00","","","13,495.00","","","较前30日","46.48%","",""
"carretilha de pesca","Fishing reels","N","24,864.00","较前30日","6.28%","115,442.00","较前30日","5.29%","28.05%","较前30日","-7.02%","9.33","较前30日","1.70%","0.25%","","","较前30日","38.89%","",""
"playa","playa","Y","21,444.00","较前30日","20.47%","114,882.00","较前30日","28.49%","17.66%","较前30日","0.17%","0.09%","较前30日","3.70%","9.24","较前30日","12.50%","","","",""
"electric bikes","electric bikes","N","31.07%","较前30日","3.29%","24.78","","","0.21%","较前30日","-8.65%","113,840.00","较前30日","90.91%","24,262.00","","","较前30日","48.10%","",""
"supervivencia","Survival","N","11,766.00","较前30日","29.42%","26.13%","较前30日","0.81%","0.31%","较前30日","-16.22%","38.64","","","113,025.00","较前30日","-13.98%","较前30日","39.05%","",""
"camping accessories","camping accessories","N","13,867.00","较前30日","3.83%","112,989.00","较前30日","0.68%","23.69%","较前30日","-27.59%","0.21%","较前30日","1.20%","67.51","较前30日","-6.36%","","","",""
"fitness","fitness","Y","24,490.00","较前30日","3.71%","112,343.00","较前30日","10.09%","15.36%","较前30日","-18.89%","24.27","","","","较前30日","-18.57%","","","",""
"bicycle accessories","bicycle accessories","N","20.92%","较前30日","15.63%","0.37%","","","71.36","较前30日","-5.38%","111,266.00","","","15,402.00","较前30日","-19.60%","较前30日","129.16%","",""
"barefoot","barefoot","Y","110,479.00","较前30日","26.28%","29.70%","较前30日","1.54%","0.47%","较前30日","-7.30%","7.26","较前30日","20.51%","28,066.00","","","较前30日","30.32%","",""
"mesa","Table","Y","41,401.00","较前30日","0.51%","109,288.00","较前30日","0.12%","14.55%","较前30日","-25.00%","0.03%","较前30日","8.26%","2.54","较前30日","4.73%","","","",""
"ciclismo","Cycling","N","14,692.00","较前30日","0.30%","109,253.00","较前30日","3.42%","20.55%","较前30日","-1.08%","55.54","","","","较前30日","-1.37%","","","",""
"golf accessories","golf accessories","N","14,266.00","较前30日","14.68%","108,677.00","较前30日","11.99%","17.41%","较前30日","-3.81%","0.71%","较前30日","-11.44%","48.85","较前30日","-10.13%","","","",""
"рыбалка","Fishing","N","19,452.00","较前30日","19.10%","107,999.00","较前30日","20.56%","41.03%","较前30日","-1.60%","0.86%","较前30日","3.17%","48.26","较前30日","13.16%","","","",""
"pilates","Pilates","Y","23,992.00","较前30日","5.55%","107,780.00","较前30日","5.71%","23.40%","较前30日","-15.83%","0.37%","较前30日","23.11%","16.82","较前30日","-10.53%","","","",""
"mancuernas","Dumbbells","N","26,146.00","较前30日","1.68%","106,261.00","较前30日","0.51%","37.14%","较前30日","-0.80%","0.43%","较前30日","22.86%","10.79","较前30日","2.62%","","","",""
"보드게임","Board game","N","14,481.00","较前30日","1.53%","105,901.00","较前30日","5.49%","20.37%","较前30日","-2.23%","0.45%","较前30日","-1.07%","7.81","较前30日","-22.41%","","","",""
"pneu maxxis 26","maxxis 26 tire","N","52,143.00","较前30日","6.64%","105,728.00","较前30日","9.82%","33.68%","较前30日","-2.77%","0.18%","较前30日","5.52%","1.04","较前30日","-10.00%","","","",""
"crossfit","Crossfit","Y","16,425.00","较前30日","1.66%","105,262.00","较前30日","12.85%","17.99%","较前30日","-4.13%","0.28%","较前30日","-26.32%","41.33","较前30日","-0.83%","","","",""
"캠핑의자","Camping chair","N","26.18%","较前30日","0.81%","0.50%","","","6.20","较前30日","-7.41%","104,084.00","","","17,551.00","较前30日","-20.21%","较前30日","69.08%","",""
"camping furniture and kitchenware","camping furniture and kitchenware","N","16.11%","","","0.08%","","","47.45","较前30日","-7.47%","103,912.00","","","16,232.00","较前30日","-26.47%","较前30日","161.98%","较前30日","0.00%"
"igpsport","igpsport","Y","30,420.00","较前30日","11.82%","103,403.00","较前30日","15.89%","40.00%","较前30日","-2.57%","0.56%","较前30日","3.65%","11.33","较前30日","16.67%","","","",""
"vibration for sax","vibration for sax","N","37,125.00","较前30日","6.82%","103,180.00","较前30日","15.53%","8.88","较前30日","-15.40%","0.18%","","","14.63%","","","较前30日","31.56%","",""
"백팩","Backpack","N","29,987.00","较前30日","10.09%","102,976.00","较前30日","14.68%","19.00%","较前30日","-6.70%","2.39","较前30日","1.28%","0.23%","","","较前30日","35.29%","",""
"scooter electric","scooter electric","N","32.79%","较前30日","6.84%","0.22%","较前30日","15.79%","24.41","较前30日","-13.86%","102,976.00","","","22,615.00","","","较前30日","36.35%","",""
"tool box","tool box","Y","27,305.00","","","102,879.00","较前30日","-2.64%","15.61%","较前30日","-1.93%","5.49","较前30日","-1.95%","0.15%","较前30日","-2.77%","较前30日","114.29%","",""
"ski","ski","Y","19.97%","较前30日","2.94%","0.35%","较前30日","18.66%","37.91","较前30日","-6.81%","","","","","","","","","",""
"의자","Chair","N","24,259.00","较前30日","12.22%","102,589.00","较前30日","11.81%","14.00%","较前30日","-4.37%","0.22%","较前30日","10.58%","3.11","较前30日","-18.52%","","","",""
"vélo électrique adulte","adult electric bike","N","29,643.00","较前30日","0.00%","102,049.00","较前30日","0.00%","25.50%","较前30日","0.00%","0.08%","较前30日","0.00%","8.17","","","","","较前30日","0.00%"
"nerf","nerf","Y","29,968.00","较前30日","16.95%","19.68%","较前30日","5.86%","0.21%","","","5.79","较前30日","23.53%","101,747.00","","","较前30日","42.15%","",""
"shoes","shoes","Y","58,620.00","较前30日","3.04%","100,354.00","较前30日","0.27%","10.18%","较前30日","-13.32%","0.04%","较前30日","-20.00%","1.43","较前30日","-17.68%","","","",""
"mochilas","Backpacks","Y","35,010.00","较前30日","11.93%","100,268.00","较前30日","25.00%","17.36%","较前30日","-11.74%","0.20%","较前30日","14.00%","2.97","较前30日","-5.66%","","","",""
"fishing gear","fishing gear","Y","14,646.00","较前30日","0.00%","100,229.00","较前30日","0.00%","20.71%","较前30日","0.00%","0.61%","较前30日","0.00%","68.89","","","","","较前30日","0.00%"
"очки солнцезащитные","Sunglasses","N","53.62%","较前30日","5.10%","0.96%","较前30日","29.73%","0.69","较前30日","-16.55%","100,206.00","","","66,196.00","","","较前30日","70.56%","",""
"сумка","Bag","N","66,983.00","较前30日","11.11%","100,186.00","较前30日","25.12%","35.80%","较前30日","-15.33%","0.10%","较前30日","-11.41%","0.57","较前30日","-8.27%","","","",""
"shorts","shorts","N","18.52%","较前30日","4.81%","1.04","","","0.36%","较前30日","-21.40%","98,527.00","较前30日","44.00%","52,493.00","","","较前30日","68.95%","",""
"자전거 용품","Bicycle accessories","N","12,540.00","较前30日","0.00%","98,488.00","较前30日","0.00%","16.95%","较前30日","0.00%","0.42%","较前30日","0.00%","29.57","","","","","较前30日","0.00%"
"slingshot","slingshot","Y","11,543.00","较前30日","3.74%","96,215.00","较前30日","7.34%","35.25%","较前30日","-2.11%","0.37%","较前30日","2.78%","63.19","较前30日","5.29%","","","",""
"바람막이","Windbreaker","N","22,808.00","较前30日","0.00%","95,382.00","较前30日","0.00%","20.83%","较前30日","0.00%","0.28%","较前30日","0.00%","2.59","","","","","较前30日","0.00%"
"cascos de ciclismo","cycling helmets","N","18,009.00","较前30日","28.59%","94,944.00","较前30日","23.58%","36.59%","较前30日","-1.72%","0.59%","较前30日","3.51%","21.22","较前30日","-15.12%","","","",""
"bag","bag","Y","46,874.00","较前30日","1.72%","94,389.00","较前30日","15.95%","16.15%","较前30日","-6.01%","0.18%","","","3.16","较前30日","-1.34%","","","较前30日","0.00%"
"bike light","bike light","N","27.86%","较前30日","23.08%","1.28%","","","27.85","较前30日","-0.21%","94,095.00","","","20,631.00","较前30日","-11.39%","较前30日","44.23%","",""
"running","running","Y","24,726.00","较前30日","7.31%","93,841.00","较前30日","13.62%","17.52%","较前30日","-3.77%","0.38%","较前30日","22.58%","5.28","较前30日","26.96%","","","",""
"mochila hombre","Man backpack","N","24,749.00","较前30日","8.29%","92,465.00","较前30日","-6.06%","20.86%","较前30日","-6.51%","0.31%","较前30日","-0.05%","4.30","较前30日","-6.34%","","","",""
"рыбалка распродажа","fishing sale","N","13,782.00","较前30日","12.16%","91,694.00","较前30日","5.51%","25.95%","较前30日","-4.50%","0.83%","较前30日","-1.74%","46.42","较前30日","-1.08%","","","",""
"очки","Glasses","N","39,423.00","较前30日","7.50%","91,210.00","较前30日","12.69%","26.44%","较前30日","-4.82%","2.17","较前30日","12.06%","0.67%","","","较前30日","55.81%","",""
"camping supplies","camping supplies","N","13,725.00","较前30日","0.00%","89,931.00","较前30日","0.00%","22.50%","较前30日","0.00%","0.25%","较前30日","0.00%","58.29","","","","","较前30日","0.00%"
"basketball","basketball","N","20,461.00","较前30日","3.22%","89,798.00","较前30日","7.94%","18.49%","较前30日","-0.34%","0.28%","较前30日","3.70%","21.58","较前30日","-1.80%","","","",""
"cycling jersey","cycling jersey","N","89,556.00","较前30日","28.82%","34.57%","较前30日","2.70%","0.67%","较前30日","-4.29%","51.48","","","14,158.00","较前30日","-13.27%","较前30日","43.33%","",""
"joyor t10","t10 joyor","N","89,212.00","较前30日","28.62%","35.47%","","","0.36%","较前30日","-4.24%","4.88","较前30日","-16.87%","33,651.00","较前30日","-16.28%","较前30日","35.91%","",""
"snowboard","snowboard","N","23.24%","较前30日","3.15%","0.05%","较前30日","25.00%","28.67","","","","较前30日","19.78%","","","","","","",""
"guitar accessories","guitar accessories","N","12,969.00","较前30日","0.00%","87,727.00","较前30日","0.00%","18.47%","较前30日","0.00%","0.72%","较前30日","0.00%","63.57","","","","","较前30日","0.00%"
"hulajnoga elektryczna","Kick scooter electric","N","35.69%","较前30日","8.41%","0.19%","较前30日","18.75%","","","","87,383.00","","","17,351.00","","","较前30日","113.47%","",""
"electric scooters","electric scooters","N","16,305.00","较前30日","6.98%","87,031.00","较前30日","1.17%","37.42%","较前30日","-1.19%","24.37","","","0.28%","较前30日","-0.14%","较前30日","40.00%","",""
"accesorios patinete eléctrico","electric scooter accessories","N","10,674.00","较前30日","12.54%","86,652.00","较前30日","11.06%","24.15%","较前30日","-11.76%","0.30%","较前30日","1.86%","30.77","较前30日","-1.45%","","","",""
"kukirin g4","kkirin g4","N","34.36%","较前30日","1.21%","","","","0.21%","","","86,578.00","较前30日","40.00%","30,621.00","","","较前30日","65.61%","",""
"골프","Golf","N","9.44%","较前30日","2.50%","0.06%","较前30日","20.00%","11.59","较前30日","-12.50%","86,559.00","","","13,636.00","","","较前30日","45.53%","",""
"hiking","hiking","Y","10,475.00","较前30日","9.51%","86,414.00","较前30日","11.01%","24.13%","","","76.04","较前30日","6.02%","0.33%","较前30日","1.66%","较前30日","32.00%","",""
"신기한 캠핑용품","novelty camping supplies","N","13,610.00","较前30日","6.68%","86,367.00","较前30日","3.03%","23.42%","较前30日","-3.92%","0.28%","较前30日","1.12%","20.48","较前30日","12.00%","","","",""
"fahrrad zubehör","Bicycle accessories","N","18.61%","较前30日","1.47%","37.35","","","0.47%","较前30日","-29.00%","85,777.00","较前30日","46.88%","10,785.00","","","较前30日","107.44%","",""
"pesas","Weights","N","22,750.00","较前30日","7.32%","85,699.00","较前30日","-7.90%","29.32%","较前30日","-24.42%","0.19%","较前30日","-13.64%","9.37","较前30日","-23.30%","","","",""
